OperationId,ShelfIndex,PictureLeft,PictureRight
244274834411218,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/244274834411218/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/244274834411218/PicturesAfter/raw/camera-CR.jpg
244274834411218,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/244274834411218/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/244274834411218/PicturesAfter/raw/camera-DR.jpg
247135063988263,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/247135063988263/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/247135063988263/PicturesAfter/raw/camera-AR.jpg
247135063988263,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/247135063988263/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/247135063988263/PicturesAfter/raw/camera-BR.jpg
247135063988263,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/247135063988263/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/247135063988263/PicturesAfter/raw/camera-CR.jpg
247135063988263,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/247135063988263/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/247135063988263/PicturesAfter/raw/camera-DR.jpg
272964117038289,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/272964117038289/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/272964117038289/PicturesAfter/raw/camera-AR.jpg
272964117038289,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/272964117038289/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/272964117038289/PicturesAfter/raw/camera-BR.jpg
272964117038289,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/272964117038289/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/272964117038289/PicturesAfter/raw/camera-CR.jpg
272964117038289,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/272964117038289/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/272964117038289/PicturesAfter/raw/camera-DR.jpg
